ID; NOME_PROG; MOTIVO; ESTADO_ANT; ESTADO_NOVO; TABELA_PAGINAS
1; fatorial; criacao; NULO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; fatia_tempo; EXECUTANDO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; E/S_Console; EXECUTANDO; BLOQUEADO; { [0,0,mp] }
1; fatorial; Fim_E/S_Console; BLOQUEADO; PRONTO; { [0,0,mp] }
1; fatorial; escalonador; PRONTO; EXECUTANDO; { [0,0,mp] }
1; fatorial; finalizacao; EXECUTANDO; TERMINADO; { [0,0,mp] }
2; fibonacciREAD; criacao; NULO; PRONTO; { [0,0,mp], [1,_,_], [2,_,_], [3,_,_] }
2; fibonacciREAD; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,_,_], [2,_,_], [3,_,_] }
2; fibonacciREAD; Page_Fault; EXECUTANDO; BLOQUEADO; { [0,0,mp], [1,_,_], [2,_,_], [3,_,_] }
2; fibonacciREAD; Fim_Page_Fault; BLOQUEADO; PRONTO; { [0,0,mp], [1,_,_], [2,_,_], [3,1,mp] }
2; fibonacciREAD; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,_,_], [2,_,_], [3,1,mp] }
2; fibonacciREAD; Page_Fault; EXECUTANDO; BLOQUEADO; { [0,0,mp], [1,_,_], [2,_,_], [3,1,mp] }
2; fibonacciREAD; Fim_Page_Fault; BLOQUEADO; PRONTO; { [0,0,mp], [1,_,_], [2,_,_], [3,2,mp] }
2; fibonacciREAD; escalonador; PRONTO; EXECUTANDO; { [0,0,mp], [1,_,_], [2,_,_], [3,2,mp] }
2; fibonacciREAD; E/S_Console; EXECUTANDO; BLOQUEADO; { [0,0,mp], [1,_,_], [2,_,_], [3,2,mp] }
